<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.04	08:00:00	1.09265	1.09691	1.09205	1.09676	41475	0	0
2024.01.04	12:00:00	1.09677	1.09723	1.09326	1.09471	44873	0	0
2024.01.04	16:00:00	1.09471	1.09654	1.09382	1.09505	60802	0	0
2024.01.04	20:00:00	1.09505	1.09545	1.09428	1.09435	23594	0	1
2024.01.05	00:00:00	1.09443	1.09559	1.09405	1.09516	15605	0	2
2024.01.05	04:00:00	1.09516	1.09541	1.09338	1.09373	11823	0	3
2024.01.05	08:00:00	1.09374	1.09374	1.09027	1.09128	34415	0	0
2024.01.05	12:00:00	1.09128	1.09281	1.08769	1.09215	55707	0	0
2024.01.05	16:00:00	1.09217	1.09988	1.09216	1.09462	111451	0	0
2024.01.05	20:00:00	1.09461	1.09598	1.09352	1.09408	34574	0	0
2024.01.08	00:00:00	1.09331	1.09530	1.09326	1.09479	10363	0	1
2024.01.08	04:00:00	1.09479	1.09479	1.09303	1.09375	12790	0	0
2024.01.08	08:00:00	1.09375	1.09523	1.09225	1.09370	33958	0	0
2024.01.08	12:00:00	1.09374	1.09564	1.09342	1.09508	39588	0	0
2024.01.08	16:00:00	1.09508	1.09789	1.09492	1.09646	59628	0	0
2024.01.08	20:00:00	1.09646	1.09659	1.09487	1.09496	27084	0	0
2024.01.09	00:00:00	1.09525	1.09619	1.09450	1.09614	15694	0	1
2024.01.09	04:00:00	1.09615	1.09664	1.09477	1.09498	14316	0	0
2024.01.09	08:00:00	1.09496	1.09630	1.09380	1.09441	33727	0	0
2024.01.09	12:00:00	1.09442	1.09482	1.09286	1.09462	43367	0	0
2024.01.09	16:00:00	1.09462	1.09514	1.09101	1.09341	64002	0	0
2024.01.09	20:00:00	1.09340	1.09404	1.09198	1.09305	31202	0	1
2024.01.10	00:00:00	1.09305	1.09364	1.09231	1.09321	12589	0	2
2024.01.10	04:00:00	1.09321	1.09360	1.09275	1.09322	12032	0	0
2024.01.10	08:00:00	1.09321	1.09519	1.09228	1.09473	35473	0	0
2024.01.10	12:00:00	1.09472	1.09555	1.09403	1.09404	33061	0	0
2024.01.10	16:00:00	1.09403	1.09692	1.09318	1.09670	53264	0	0
2024.01.10	20:00:00	1.09671	1.09730	1.09592	1.09718	28144	0	0
2024.01.11	00:00:00	1.09716	1.09802	1.09659	1.09787	13186	0	0
2024.01.11	04:00:00	1.09787	1.09849	1.09754	1.09782	13018	0	3
2024.01.11	08:00:00	1.09781	1.09886	1.09589	1.09638	28590	0	0
2024.01.11	12:00:00	1.09637	1.10004	1.09354	1.09400	59120	0	0
2024.01.11	16:00:00	1.09400	1.09736	1.09299	1.09509	110574	0	0
2024.01.11	20:00:00	1.09508	1.09830	1.09497	1.09716	45170	0	1
2024.01.12	00:00:00	1.09620	1.09849	1.09613	1.09826	16233	0	3
2024.01.12	04:00:00	1.09825	1.09854	1.09729	1.09754	13020	0	0
2024.01.12	08:00:00	1.09755	1.09829	1.09609	1.09626	32590	0	0
2024.01.12	12:00:00	1.09625	1.09696	1.09358	1.09552	54963	0	0
2024.01.12	16:00:00	1.09552	1.09871	1.09468	1.09496	74951	0	0
2024.01.12	20:00:00	1.09496	1.09636	1.09474	1.09497	24262	0	1
2024.01.15	00:00:00	1.09472	1.09561	1.09406	1.09546	15138	0	2
2024.01.15	04:00:00	1.09547	1.09675	1.09547	1.09639	13762	0	0
2024.01.15	08:00:00	1.09640	1.09666	1.09430	1.09467	27897	0	0
2024.01.15	12:00:00	1.09467	1.09592	1.09335	1.09506	35959	0	0
2024.01.15	16:00:00	1.09506	1.09526	1.09379	1.09482	30106	0	0
2024.01.15	20:00:00	1.09482	1.09536	1.09461	1.09482	5602	0	0
2024.01.16	00:00:00	1.09468	1.09510	1.09152	1.09275	23975	0	1
2024.01.16	04:00:00	1.09277	1.09277	1.09122	1.09153	17923	0	0
2024.01.16	08:00:00	1.09153	1.09267	1.08839	1.08862	44228	0	0
2024.01.16	12:00:00	1.08862	1.08981	1.08714	1.08742	50880	0	0
2024.01.16	16:00:00	1.08743	1.08946	1.08619	1.08630	87842	0	0
2024.01.16	20:00:00	1.08630	1.08772	1.08627	1.08748	26624	0	0
2024.01.17	00:00:00	1.08743	1.08822	1.08620	1.08773	15121	0	0
2024.01.17	04:00:00	1.08773	1.08846	1.08604	1.08649	18099	0	0
2024.01.17	08:00:00	1.08649	1.08817	1.08553	1.08766	43715	0	0
2024.01.17	12:00:00	1.08765	1.08840	1.08514	1.08637	47912	0	0
2024.01.17	16:00:00	1.08638	1.08711	1.08444	1.08670	68878	0	0
2024.01.17	20:00:00	1.08670	1.08827	1.08562	1.08823	28798	0	1
2024.01.18	00:00:00	1.08814	1.09008	1.08792	1.08960	20898	0	3
2024.01.18	04:00:00	1.08962	1.09027	1.08900	1.08948	16391	0	3
2024.01.18	08:00:00	1.08947	1.09069	1.08767	1.08846	34439	0	0
2024.01.18	12:00:00	1.08845	1.08961	1.08503	1.08524	44550	0	0
2024.01.18	16:00:00	1.08524	1.08702	1.08465	1.08596	70610	0	0
2024.01.18	20:00:00	1.08596	1.08771	1.08540	1.08757	29102	0	0
2024.01.19	00:00:00	1.08760	1.08872	1.08591	1.08855	14569	0	1
2024.01.19	04:00:00	1.08855	1.08895	1.08793	1.08808	12403	0	0
2024.01.19	08:00:00	1.08808	1.08864	1.08680	1.08829	29726	0	0
2024.01.19	12:00:00	1.08829	1.08931	1.08730	1.08803	30966	0	0
2024.01.19	16:00:00	1.08804	1.08935	1.08654	1.08897	60945	0	0
2024.01.19	20:00:00	1.08896	1.08974	1.08855	1.08968	24185	0	1
2024.01.22	00:00:00	1.08898	1.09050	1.08832	1.09018	18166	0	3
2024.01.22	04:00:00	1.09018	1.09093	1.08979	1.09015	13536	0	0
2024.01.22	08:00:00	1.09015	1.09096	1.08871	1.08970	29556	0	0
2024.01.22	12:00:00	1.08970	1.08994	1.08797	1.08917	36801	0	0
2024.01.22	16:00:00	1.08917	1.09000	1.08816	1.08961	43915	0	0
2024.01.22	20:00:00	1.08961	1.08965	1.08801	1.08820	23934	0	0
2024.01.23	00:00:00	1.08816	1.08886	1.08756	1.08883	19935	0	0
2024.01.23	04:00:00	1.08883	1.09080	1.08847	1.09068	22474	0	3
2024.01.23	08:00:00	1.09068	1.09162	1.08836	1.08875	39551	0	0
2024.01.23	12:00:00	1.08875	1.08883	1.08601	1.08742	39574	0	0
2024.01.23	16:00:00	1.08742	1.08742	1.08215	1.08315	61939	0	0
2024.01.23	20:00:00	1.08314	1.08555	1.08302	1.08542	24349	0	1
2024.01.24	00:00:00	1.08547	1.08600	1.08410	1.08579	11697	0	0
2024.01.24	04:00:00	1.08578	1.08662	1.08530	1.08616	13303	0	0
2024.01.24	08:00:00	1.08617	1.09078	1.08602	1.09028	39804	0	0
2024.01.24	12:00:00	1.09027	1.09274	1.08873	1.09249	41818	0	0
2024.01.24	16:00:00	1.09249	1.09325	1.08903	1.09052	73036	0	0
2024.01.24	20:00:00	1.09053	1.09061	1.08769	1.08840	33037	0	0
2024.01.25	00:00:00	1.08840	1.08865	1.08700	1.08775	13146	0	2
2024.01.25	04:00:00	1.08775	1.08820	1.08742	1.08782	12094	0	0
2024.01.25	08:00:00	1.08782	1.08998	1.08753	1.08959	29542	0	0
2024.01.25	12:00:00	1.08959	1.09021	1.08665	1.08790	53357	0	0
2024.01.25	16:00:00	1.08790	1.08790	1.08239	1.08377	93472	0	0
2024.01.25	20:00:00	1.08379	1.08475	1.08213	1.08455	35021	0	1
2024.01.26	00:00:00	1.08455	1.08477	1.08356	1.08443	11283	0	0
2024.01.26	04:00:00	1.08443	1.08489	1.08379	1.08426	10771	0	0
2024.01.26	08:00:00	1.08426	1.08505	1.08128	1.08442	37165	0	0
2024.01.26	12:00:00	1.08442	1.08857	1.08441	1.08720	48671	0	0
2024.01.26	16:00:00	1.08721	1.08804	1.08549	1.08636	55427	0	0
2024.01.26	20:00:00	1.08636	1.08660	1.08512	1.08533	20941	0	0
2024.01.29	00:00:00	1.08440	1.08494	1.08387	1.08439	16320	0	3
2024.01.29	04:00:00	1.08439	1.08477	1.08390	1.08398	11187	0	0
2024.01.29	08:00:00	1.08399	1.08502	1.08230	1.08252	28850	0	0
2024.01.29	12:00:00	1.08252	1.08369	1.08136	1.08204	38255	0	0
2024.01.29	16:00:00	1.08204	1.08227	1.07957	1.08115	45276	0	0
2024.01.29	20:00:00	1.08114	1.08404	1.08091	1.08321	28852	0	1
2024.01.30	00:00:00	1.08314	1.08424	1.08242	1.08349	14132	0	1
2024.01.30	04:00:00	1.08348	1.08362	1.08214	1.08223	12667	0	0
2024.01.30	08:00:00	1.08224	1.08323	1.08116	1.08269	33534	0	0
2024.01.30	12:00:00	1.08270	1.08500	1.08231	1.08346	37139	0	0
2024.01.30	16:00:00	1.08349	1.08575	1.08278	1.08389	72163	0	0
2024.01.30	20:00:00	1.08389	1.08486	1.08313	1.08451	23917	0	1
2024.01.31	00:00:00	1.08451	1.08481	1.08310	1.08314	13163	0	0
2024.01.31	04:00:00	1.08315	1.08315	1.08157	1.08203	18379	0	0
2024.01.31	08:00:00	1.08203	1.08368	1.08061	1.08223	36834	0	0
2024.01.31	12:00:00	1.08223	1.08627	1.08214	1.08574	46250	0	0
2024.01.31	16:00:00	1.08573	1.08876	1.08417	1.08496	90818	0	0
2024.01.31	20:00:00	1.08496	1.08642	1.07945	1.08174	116173	0	0
2024.02.01	00:00:00	1.08173	1.08203	1.08015	1.08089	15045	0	0
2024.02.01	04:00:00	1.08088	1.08220	1.08023	1.08027	17231	0	0
2024.02.01	08:00:00	1.08028	1.08053	1.07799	1.07987	39505	0	0
2024.02.01	12:00:00	1.07988	1.08275	1.07915	1.08140	50200	0	0
2024.02.01	16:00:00	1.08138	1.08748	1.08059	1.08728	99412	0	0
2024.02.01	20:00:00	1.08727	1.08749	1.08626	1.08709	40561	0	1
2024.02.02	00:00:00	1.08710	1.08799	1.08626	1.08714	11393	0	2
2024.02.02	04:00:00	1.08714	1.08825	1.08712	1.08774	12490	0	0
2024.02.02	08:00:00	1.08774	1.08976	1.08735	1.08909	26861	0	0
2024.02.02	12:00:00	1.08909	1.08950	1.08037	1.08074	47225	0	0
2024.02.02	16:00:00	1.08072	1.08172	1.07805	1.07835	84770	0	0
2024.02.02	20:00:00	1.07835	1.07974	1.07803	1.07858	30443	0	1
2024.02.05	00:00:00	1.07818	1.07863	1.07670	1.07783	26477	0	3
2024.02.05	04:00:00	1.07780	1.07823	1.07732	1.07819	15982	0	0
2024.02.05	08:00:00	1.07820	1.07862	1.07519	1.07538	34666	0	0
2024.02.05	12:00:00	1.07538	1.07588	1.07360	1.07375	38118	0	0
2024.02.05	16:00:00	1.07374	1.07451	1.07231	1.07389	60086	0	0
2024.02.05	20:00:00	1.07390	1.07466	1.07366	1.07421	24428	0	0
2024.02.06	00:00:00	1.07408	1.07473	1.07370	1.07453	10214	0	2
2024.02.06	04:00:00	1.07453	1.07543	1.07433	1.07533	15290	0	0
2024.02.06	08:00:00	1.07533	1.07625	1.07255	1.07292	32655	0	0
2024.02.06	12:00:00	1.07292	1.07440	1.07225	1.07304	26434	0	0
2024.02.06	16:00:00	1.07304	1.07552	1.07290	1.07510	38607	0	0
2024.02.06	20:00:00	1.07509	1.07574	1.07432	1.07539	18004	0	0
2024.02.07	00:00:00	1.07536	1.07650	1.07468	1.07633	7469	0	0
2024.02.07	04:00:00	1.07631	1.07665	1.07566	1.07626	9502	0	0
2024.02.07	08:00:00	1.07626	1.07736	1.07566	1.07693	19476	0	0
2024.02.07	12:00:00	1.07693	1.07841	1.07623	1.07701	24687	0	0
2024.02.07	16:00:00	1.07701	1.07800	1.07556	1.07648	42317	0	0
2024.02.07	20:00:00	1.07647	1.07755	1.07643	1.07711	16067	0	1
2024.02.08	00:00:00	1.07711	1.07800	1.07600	1.07785	6506	0	1
2024.02.08	04:00:00	1.07785	1.07885	1.07780	1.07826	8671	0	0
2024.02.08	08:00:00	1.07825	1.07889	1.07684	1.07830	19253	0	0
2024.02.08	12:00:00	1.07830	1.07856	1.07414	1.07439	28244	0	0
2024.02.08	16:00:00	1.07437	1.07767	1.07433	1.07734	33225	0	0
2024.02.08	20:00:00	1.07734	1.07828	1.07724	1.07769	18776	0	0
2024.02.09	00:00:00	1.07771	1.07787	1.07721	1.07742	6239	0	0
2024.02.09	04:00:00	1.07742	1.07783	1.07692	1.07710	7044	0	0
2024.02.09	08:00:00	1.07710	1.07848	1.07661	1.07671	17894	0	0
2024.02.09	12:00:00	1.07671	1.07946	1.07622	1.07830	35476	0	0
2024.02.09	16:00:00	1.07828	1.07953	1.07749	1.07855	32735	0	0
2024.02.09	20:00:00	1.07855	1.07910	1.07796	1.07844	10253	0	0
2024.02.12	00:00:00	1.07785	1.07998	1.07775	1.07956	8947	0	0
2024.02.12	04:00:00	1.07956	1.07979	1.07891	1.07916	10923	0	0
2024.02.12	08:00:00	1.07916	1.08058	1.07668	1.07691	25992	0	0
2024.02.12	12:00:00	1.07692	1.07791	1.07609	1.07638	29912	0	0
2024.02.12	16:00:00	1.07639	1.07824	1.07557	1.07824	31173	0	0
2024.02.12	20:00:00	1.07821	1.07863	1.07678	1.07695	16769	0	0
2024.02.13	00:00:00	1.07712	1.07744	1.07630	1.07667	4691	0	0
2024.02.13	04:00:00	1.07666	1.07678	1.07604	1.07666	6073	0	0
2024.02.13	08:00:00	1.07667	1.07778	1.07566	1.07668	27910	0	0
2024.02.13	12:00:00	1.07669	1.07977	1.07028	1.07086	43716	0	0
2024.02.13	16:00:00	1.07086	1.07269	1.07002	1.07152	46852	0	0
2024.02.13	20:00:00	1.07153	1.07202	1.07003	1.07084	16951	0	0
2024.02.14	00:00:00	1.07083	1.07144	1.07030	1.07115	6650	0	0
2024.02.14	04:00:00	1.07114	1.07148	1.07079	1.07138	6878	0	0
2024.02.14	08:00:00	1.07139	1.07188	1.06945	1.07003	30962	0	1
2024.02.14	12:00:00	1.07002	1.07168	1.06962	1.07087	29559	0	0
2024.02.14	16:00:00	1.07088	1.07347	1.07064	1.07306	38124	0	0
2024.02.14	20:00:00	1.07308	1.07338	1.07242	1.07257	12536	0	1
2024.02.15	00:00:00	1.07241	1.07355	1.07229	1.07281	4844	0	0
2024.02.15	04:00:00	1.07282	1.07321	1.07244	1.07288	6008	0	0
2024.02.15	08:00:00	1.07289	1.07417	1.07269	1.07331	24804	0	0
2024.02.15	12:00:00	1.07331	1.07728	1.07306	1.07662	33129	0	0
2024.02.15	16:00:00	1.07662	1.07850	1.07551	1.07625	44910	0	0
2024.02.15	20:00:00	1.07624	1.07733	1.07602	1.07714	12976	0	1
2024.02.16	00:00:00	1.07705	1.07769	1.07608	1.07647	6526	0	0
2024.02.16	04:00:00	1.07648	1.07650	1.07571	1.07601	7583	0	0
2024.02.16	08:00:00	1.07601	1.07719	1.07583	1.07661	23005	0	0
2024.02.16	12:00:00	1.07661	1.07801	1.07319	1.07463	31282	0	0
2024.02.16	16:00:00	1.07463	1.07779	1.07407	1.07779	41059	0	0
2024.02.16	20:00:00	1.07778	1.07874	1.07727	1.07769	15297	0	1
2024.02.19	00:00:00	1.07722	1.07889	1.07706	1.07803	7566	0	0
2024.02.19	04:00:00	1.07803	1.07832	1.07746	1.07816	7233	0	0
2024.02.19	08:00:00	1.07817	1.07894	1.07721	1.07747	21793	0	0
2024.02.19	12:00:00	1.07748	1.07818	1.07674	1.07700	21661	0	0
2024.02.19	16:00:00	1.07700	1.07764	1.07618	1.07761	19961	0	0
2024.02.19	20:00:00	1.07760	1.07837	1.07757	1.07782	5910	0	0
2024.02.20	00:00:00	1.07785	1.07800	1.07648	1.07658	8156	0	0
2024.02.20	04:00:00	1.07658	1.07709	1.07613	1.07678	8612	0	0
2024.02.20	08:00:00	1.07678	1.07990	1.07672	1.07976	26449	0	1
2024.02.20	12:00:00	1.07976	1.08250	1.07935	1.08232	35748	0	0
2024.02.20	16:00:00	1.08231	1.08389	1.08089	1.08118	38211	0	0
2024.02.20	20:00:00	1.08117	1.08131	1.08043	1.08068	14595	0	0
2024.02.21	00:00:00	1.08064	1.08126	1.08028	1.08119	6530	0	2
2024.02.21	04:00:00	1.08118	1.08190	1.08116	1.08150	8421	0	0
2024.02.21	08:00:00	1.08149	1.08153	1.07897	1.07996	26563	0	1
2024.02.21	12:00:00	1.07996	1.08116	1.07939	1.08101	27263	0	0
2024.02.21	16:00:00	1.08099	1.08201	1.08007	1.08075	34156	0	0
2024.02.21	20:00:00	1.08075	1.08245	1.07997	1.08180	23470	0	1
2024.02.22	00:00:00	1.08181	1.08318	1.08102	1.08267	7249	0	0
2024.02.22	04:00:00	1.08265	1.08379	1.08188	1.08332	9482	0	0
2024.02.22	08:00:00	1.08330	1.08884	1.08326	1.08529	37916	0	1
2024.02.22	12:00:00	1.08529	1.08590	1.08211	1.08233	33660	0	0
2024.02.22	16:00:00	1.08233	1.08246	1.08027	1.08201	41458	0	0
2024.02.22	20:00:00	1.08201	1.08263	1.08142	1.08220	13642	0	0
2024.02.23	00:00:00	1.08222	1.08320	1.08147	1.08268	6978	0	0
2024.02.23	04:00:00	1.08269	1.08307	1.08207	1.08226	6975	0	0
2024.02.23	08:00:00	1.08227	1.08326	1.08138	1.08174	23687	0	0
2024.02.23	12:00:00	1.08174	1.08396	1.08168	1.08319	29591	0	0
2024.02.23	16:00:00	1.08319	1.08370	1.08116	1.08247	34421	0	0
2024.02.23	20:00:00	1.08247	1.08295	1.08174	1.08184	12421	0	0
2024.02.26	00:00:00	1.08309	1.08309	1.08125	1.08162	12984	0	0
2024.02.26	04:00:00	1.08164	1.08241	1.08140	1.08230	6585	0	0
2024.02.26	08:00:00	1.08229	1.08405	1.08218	1.08399	23703	0	0
2024.02.26	12:00:00	1.08400	1.08597	1.08383	1.08579	27645	0	0
2024.02.26	16:00:00	1.08580	1.08588	1.08386	1.08451	31790	0	0
2024.02.26	20:00:00	1.08452	1.08527	1.08394	1.08484	16416	0	0
2024.02.27	00:00:00	1.08502	1.08513	1.08449	1.08498	4767	0	0
2024.02.27	04:00:00	1.08499	1.08555	1.08479	1.08517	7528	0	0
2024.02.27	08:00:00	1.08519	1.08661	1.08468	1.08528	27581	0	1
2024.02.27	12:00:00	1.08530	1.08633	1.08416	1.08478	28705	0	0
2024.02.27	16:00:00	1.08478	1.08580	1.08328	1.08507	33534	0	0
2024.02.27	20:00:00	1.08508	1.08567	1.08406	1.08431	14944	0	0
2024.02.28	00:00:00	1.08432	1.08468	1.08374	1.08391	6326	0	0
2024.02.28	04:00:00	1.08392	1.08402	1.08250	1.08268	11356	0	0
2024.02.28	08:00:00	1.08267	1.08294	1.07963	1.07998	31097	0	1
2024.02.28	12:00:00	1.07998	1.08308	1.07992	1.08279	33577	0	0
2024.02.28	16:00:00	1.08279	1.08460	1.08212	1.08382	34792	0	0
2024.02.28	20:00:00	1.08383	1.08407	1.08322	1.08369	11931	0	0
2024.02.29	00:00:00	1.08372	1.08405	1.08277	1.08288	7425	0	0
2024.02.29	04:00:00	1.08288	1.08378	1.08284	1.08353	13478	0	0
2024.02.29	08:00:00	1.08352	1.08521	1.08256	1.08507	29669	0	1
2024.02.29	12:00:00	1.08505	1.08545	1.08217	1.08379	38539	0	0
2024.02.29	16:00:00	1.08378	1.08560	1.07957	1.07998	44311	0	0
2024.02.29	20:00:00	1.07998	1.08113	1.07982	1.08038	17785	0	0
2024.03.01	00:00:00	1.08045	1.08213	1.07963	1.08213	8461	0	0
2024.03.01	04:00:00	1.08212	1.08218	1.08107	1.08119	7379	0	0
2024.03.01	08:00:00	1.08120	1.08200	1.08079	1.08154	23449	0	0
2024.03.01	12:00:00	1.08154	1.08248	1.07982	1.08128	32719	0	0
2024.03.01	16:00:00	1.08128	1.08418	1.07979	1.08376	40939	0	0
2024.03.01	20:00:00	1.08375	1.08433	1.08311	1.08387	14327	0	1
2024.03.04	00:00:00	1.08400	1.08481	1.08290	1.08400	14755	0	0
2024.03.04	04:00:00	1.08400	1.08466	1.08383	1.08442	9001	0	0
2024.03.04	08:00:00	1.08439	1.08580	1.08375	1.08492	30276	0	1
2024.03.04	12:00:00	1.08491	1.08577	1.08400	1.08486	24074	0	0
2024.03.04	16:00:00	1.08487	1.08670	1.08448	1.08578	32557	0	0
2024.03.04	20:00:00	1.08579	1.08606	1.08530	1.08530	11483	0	1
2024.03.05	00:00:00	1.08548	1.08581	1.08472	1.08493	11359	0	1
2024.03.05	04:00:00	1.08493	1.08548	1.08481	1.08527	7963	0	0
2024.03.05	08:00:00	1.08528	1.08559	1.08415	1.08514	27425	0	0
2024.03.05	12:00:00	1.08512	1.08549	1.08419	1.08462	24247	0	0
2024.03.05	16:00:00	1.08463	1.08765	1.08401	1.08598	37430	0	0
2024.03.05	20:00:00	1.08599	1.08601	1.08487	1.08545	17770	0	0
2024.03.06	00:00:00	1.08560	1.08588	1.08417	1.08437	9102	0	0
2024.03.06	04:00:00	1.08437	1.08569	1.08435	1.08549	11735	0	0
2024.03.06	08:00:00	1.08549	1.08778	1.08544	1.08763	25976	0	1
2024.03.06	12:00:00	1.08762	1.08849	1.08674	1.08845	29078	0	0
2024.03.06	16:00:00	1.08845	1.09154	1.08811	1.09022	44356	0	0
2024.03.06	20:00:00	1.09023	1.09077	1.08926	1.08973	22210	0	1
2024.03.07	00:00:00	1.08975	1.09075	1.08925	1.08977	10374	0	0
2024.03.07	04:00:00	1.08977	1.09056	1.08932	1.09002	10414	0	0
2024.03.07	08:00:00	1.09002	1.09043	1.08875	1.09016	25573	0	1
2024.03.07	12:00:00	1.09016	1.09020	1.08676	1.08722	32586	0	0
2024.03.07	16:00:00	1.08722	1.09419	1.08690	1.09369	45260	0	0
2024.03.07	20:00:00	1.09367	1.09493	1.09362	1.09465	13421	0	0
2024.03.08	00:00:00	1.09472	1.09557	1.09409	1.09478	9244	0	0
2024.03.08	04:00:00	1.09478	1.09507	1.09438	1.09464	8075	0	0
2024.03.08	08:00:00	1.09464	1.09512	1.09258	1.09353	28108	0	1
2024.03.08	12:00:00	1.09353	1.09813	1.09183	1.09580	35730	0	0
2024.03.08	16:00:00	1.09580	1.09667	1.09367	1.09392	45714	0	0
2024.03.08	20:00:00	1.09393	1.09439	1.09333	1.09370	15505	0	2
2024.03.11	00:00:00	1.09388	1.09466	1.09346	1.09404	11661	0	0
2024.03.11	04:00:00	1.09403	1.09442	1.09366	1.09411	8575	0	0
2024.03.11	08:00:00	1.09412	1.09483	1.09337	1.09346	21751	0	1
2024.03.11	12:00:00	1.09346	1.09436	1.09175	1.09197	24663	0	0
2024.03.11	16:00:00	1.09196	1.09303	1.09144	1.09251	27929	0	0
2024.03.11	20:00:00	1.09252	1.09268	1.09176	1.09249	14794	0	2
2024.03.12	00:00:00	1.09249	1.09343	1.09233	1.09335	5796	0	3
2024.03.12	04:00:00	1.09333	1.09389	1.09298	1.09382	7632	0	1
2024.03.12	08:00:00	1.09381	1.09395	1.09211	1.09303	21235	0	0
2024.03.12	12:00:00	1.09302	1.09436	1.09022	1.09107	14976	0	0
2024.03.12	16:00:00	1.09114	1.09207	1.09063	1.09193	11443	0	0
2024.03.12	20:00:00	1.09192	1.09273	1.09185	1.09261	3935	0	0
2024.03.13	00:00:00	1.09261	1.09296	1.09235	1.09239	3342	0	0
2024.03.13	04:00:00	1.09239	1.09306	1.09221	1.09286	3753	0	0
2024.03.13	08:00:00	1.09286	1.09327	1.09201	1.09232	7149	0	0
2024.03.13	12:00:00	1.09232	1.09474	1.09222	1.09371	8376	0	0
2024.03.13	16:00:00	1.09371	1.09637	1.09314	1.09570	10096	0	0
2024.03.13	20:00:00	1.09570	1.09584	1.09429	1.09473	4336	0	0
2024.03.14	00:00:00	1.09475	1.09547	1.09452	1.09487	3126	0	0
2024.03.14	04:00:00	1.09488	1.09498	1.09390	1.09396	2839	0	0
2024.03.14	08:00:00	1.09396	1.09443	1.09318	1.09413	7253	0	0
2024.03.14	12:00:00	1.09413	1.09453	1.09088	1.09117	12195	0	0
2024.03.14	16:00:00	1.09117	1.09141	1.08810	1.08864	11622	0	0
2024.03.14	20:00:00	1.08864	1.08919	1.08792	1.08845	4907	0	0
2024.03.15	00:00:00	1.08845	1.08851	1.08754	1.08770	3382	0	0
2024.03.15	04:00:00	1.08769	1.08781	1.08729	1.08769	3122	0	0
2024.03.15	08:00:00	1.08768	1.08995	1.08753	1.08980	7039	0	0
2024.03.15	12:00:00	1.08981	1.08996	1.08832	1.08862	8445	0	0
2024.03.15	16:00:00	1.08866	1.08943	1.08813	1.08837	9133	0	0
2024.03.15	20:00:00	1.08837	1.08914	1.08837	1.08872	3151	0	0
2024.03.18	00:00:00	1.08881	1.08905	1.08803	1.08890	3784	0	0
2024.03.18	04:00:00	1.08892	1.08917	1.08853	1.08870	3141	0	0
2024.03.18	08:00:00	1.08870	1.09005	1.08866	1.08993	5625	0	0
2024.03.18	12:00:00	1.08993	1.09060	1.08855	1.08889	7156	0	0
2024.03.18	16:00:00	1.08890	1.08932	1.08661	1.08685	8510	0	0
2024.03.18	20:00:00	1.08685	1.08737	1.08674	1.08728	2651	0	0
2024.03.19	00:00:00	1.08708	1.08745	1.08668	1.08682	3029	0	0
2024.03.19	04:00:00	1.08682	1.08765	1.08629	1.08641	5624	0	0
2024.03.19	08:00:00	1.08641	1.08684	1.08347	1.08366	8960	0	0
2024.03.19	12:00:00	1.08366	1.08570	1.08366	1.08541	9701	0	0
2024.03.19	16:00:00	1.08542	1.08675	1.08533	1.08634	8005	0	0
2024.03.19	20:00:00	1.08634	1.08666	1.08570	1.08645	4218	0	0
2024.03.20	00:00:00	1.08642	1.08660	1.08583	1.08642	2524	0	0
2024.03.20	04:00:00	1.08642	1.08710	1.08626	1.08657	2339	0	0
2024.03.20	08:00:00	1.08657	1.08719	1.08364	1.08390	6444	0	0
2024.03.20	12:00:00	1.08390	1.08456	1.08365	1.08447	6958	0	0
2024.03.20	16:00:00	1.08445	1.08670	1.08435	1.08636	6715	0	0
2024.03.20	20:00:00	1.08623	1.09227	1.08600	1.09205	15662	0	0
2024.03.21	00:00:00	1.09196	1.09389	1.09186	1.09352	5352	0	0
2024.03.21	04:00:00	1.09352	1.09372	1.09316	1.09316	3163	0	0
2024.03.21	08:00:00	1.09316	1.09426	1.08872	1.09130	10250	0	0
2024.03.21	12:00:00	1.09130	1.09236	1.08835	1.08856	11703	0	0
2024.03.21	16:00:00	1.08856	1.08860	1.08557	1.08578	11744	0	0
2024.03.21	20:00:00	1.08577	1.08630	1.08528	1.08596	3674	0	0
2024.03.22	00:00:00	1.08596	1.08679	1.08500	1.08504	3142	0	0
2024.03.22	04:00:00	1.08504	1.08524	1.08311	1.08414	4788	0	0
2024.03.22	08:00:00	1.08410	1.08410	1.08081	1.08162	8994	0	0
2024.03.22	12:00:00	1.08162	1.08311	1.08115	1.08295	8916	0	0
2024.03.22	16:00:00	1.08295	1.08316	1.08048	1.08058	8161	0	0
2024.03.22	20:00:00	1.08059	1.08096	1.08017	1.08062	2765	0	0
2024.03.25	00:00:00	1.08062	1.08197	1.08022	1.08169	3861	0	0
2024.03.25	04:00:00	1.08169	1.08223	1.08106	1.08220	3659	0	0
2024.03.25	08:00:00	1.08219	1.08237	1.08071	1.08175	5479	0	0
2024.03.25	12:00:00	1.08174	1.08378	1.08164	1.08349	6520	0	0
2024.03.25	16:00:00	1.08347	1.08423	1.08316	1.08363	6477	0	0
2024.03.25	20:00:00	1.08363	1.08408	1.08333	1.08355	3147	0	0
2024.03.26	00:00:00	1.08355	1.08455	1.08348	1.08404	3117	0	0
2024.03.26	04:00:00	1.08404	1.08481	1.08358	1.08471	3233	0	0
